Fly Ash (%),Lime (%),Cement (%),Liquid Limit LL (%),Plastic Limit PL (%),OMC (%),MDD (g/cm³),CBR (%),UCS (kg/cm²)
10,6,4,42.568,32.27,19.8268,1.60836,6.24636,1.143156
10,,6,42.7844,34.542,19.8918,1.59716,6.64544,1.217484
10,,8,44.3184,38.998,19.9456,1.59084,7.10292,1.327972
10,8,0,43.674,36.394,20.152,1.66618,5.6768,1.01188
10,8,2,41.61,34.84,20.1546,1.63644,5.92844,1.12204
10,8,4,40.8636,35.458,20.146,1.61158,6.23848,1.168368
10,8,6,41.4348,38.266,20.1262,1.5916,6.60692,1.350852
10,8,8,43.2326,43.258,20.0952,1.5765,7.03376,1.469496
15,0,0,45.9375,21.34,17.44175,1.6106,4.70875,1.0952
15,0,2,42.9603,18.338,17.75325,1.62245,5.12605,1.08277
15,0,4,41.3007,17.52,18.05355,1.63918,5.6175,1.1065
15,0,6,40.9587,18.886,18.34265,1.66079,6.10375,1.1635
15,0,8,41.9343,22.436,18.62055,1.68728,6.72835,1.26244
15,2,0,46.5445,26.654,18.62375,1.59243,5.30665,1.09893
15,2,2,43.9221,24.188,18.85045,1.5955,5.69331,1.094656
15,2,4,42.6173,23.906,19.06595,1.60345,6.13837,1.126542
15,2,6,42.6301,25.808,19.27025,1.61628,6.64183,1.194588
15,2,8,43.9605,29.894,19.46335,1.63399,7.20369,1.398794
15,4,0,46.2515,31.368,19.58895,1.5889,5.72535,1.10458
15,4,2,43.9839,29.438,19.73085,1.58319,6.08137,1.08462
15,4,4,43.0339,29.692,19.86155,1.58236,6.49579,1.148504
15,4,6,43.4015,32.13,19.98105,1.58641,6.96861,1.224706
15,4,8,45.0867,36.752,20.08935,1.59534,7.49983,1.337068
15,6,0,45.0585,35.482,20.33735,1.60001,5.96485,1.12115
15,6,2,43.1457,34.088,20.39445,1.58552,6.29023,1.124188
15,6,4,42.5505,34.878,20.44035,1.57591,6.67401,1.172386
15,6,6,43.2729,37.852,20.47505,1.57118,7.11619,1.356744
15,6,8,45.3129,43.01,20.49855,1.57133,7.61677,1.377262
20,0,0,42.9655,38.996,20.86895,1.62576,6.02515,1.12164
20,0,2,41.4075,38.138,20.84125,1.60249,6.31989,1.141834
20,0,4,41.1671,39.464,20.80235,1.5841,6.67303,1.198188
20,0,6,42.2443,42.974,20.75225,1.57059,7.08457,1.290702
20,0,8,44.6391,48.068,20.69095,1.56196,7.5545,1.419376
20,2,0,44.9,18.04,18.196,1.5447,5.068,1.2815
20,2,2,42.4288,15.74,18.4772,1.56302,5.5284,1.2791
20,2,4,41.2752,15.624,18.7472,1.58622,6.0472,1.31286
20,2,6,41.4392,17.692,19.006,1.6143,6.6244,1.38278
20,2,8,42.9208,21.944,19.2536,1.64726,7.26,1.28886
20,4,0,45.828,24.752,19.4208,1.5315,6.57285,1.08552
20,4,2,43.716,22.988,19.6172,1.54104,6.10672,1.093576
20,4,4,42.9128,23.408,19.8024,1.55546,6.59072,1.133492
20,4,6,43.4316,26.012,19.9764,1.57476,7.13728,1.211568
20,4,8,45.268,30.8,20.1392,1.59894,7.74224,1.325804
20,6,0,45.856,30.864,20.4288,1.53294,6.0984,1.09206
20,6,2,44.0944,29.636,20.5404,1.5337,6.49752,1.105972
20,6,4,43.6504,30.592,20.6408,1.53934,6.95504,1.156044
20,6,6,44.524,33.732,20.73,1.54986,7.47096,1.242276
20,6,8,46.7152,39.056,20.808,1.56526,8.04528,1.364668
20,8,0,44.984,36.376,21.22,1.54902,6.3448,1.10022
20,8,2,43.5772,35.684,21.2468,1.541,6.71328,1.122288
20,8,4,43.488,37.176,21.2624,1.53786,7.14016,1.180516
20,8,6,44.7164,40.852,21.2668,1.5396,7.62544,1.274904
20,8,8,47.2624,46.712,21.26,1.54622,8.16912,1.405452
20,8,0,43.212,41.288,21.7944,1.57974,6.412,1.0103
20,8,2,42.16,41.132,21.7364,1.56294,6.74984,1.140524
20,8,4,42.4256,43.16,21.6672,1.55102,7.14608,1.206908
20,8,6,44.0088,47.372,21.5868,1.54398,7.60072,1.309452
20,8,8,46.9096,53.768,21.4952,1.54182,8.11376,1.448156
